tconst,titleType,startYear,endYear,runYears,runtimeMinutes,genres,secGenres,maxSeason,avgMaxEps,actor,actress,archive_footage,self,writer,averageRating
tt0115354,tvSeries,1996,1996,0,30,Comedy,None,1,6,6,2,0,0,2,7.1
tt0115355,tvSeries,1996,1996,0,120,Crime,Drama,23,7.916666667,6,4,0,0,0,7.9
tt0115359,tvSeries,1995,1995,0,30,Comedy,None,2,12,8,2,0,0,0,6.8
tt0115360,tvSeries,1996,2002,6,44,Drama,None,6,81,7,3,0,0,0,4.6
tt0115365,tvSeries,1996,1998,2,30,Comedy,None,2,18.5,4,4,0,0,2,7
tt0115366,tvSeries,1996,1997,1,30,Comedy,Family,2,13,4,4,0,0,2,7.5
tt0115367,tvSeries,1996,1998,2,30,Comedy,None,2,20,7,2,0,0,1,7.1
tt0115369,tvSeries,1996,2002,6,30,Comedy,None,6,24.16666667,6,2,0,0,2,7.3
tt0115370,tvSeries,1996,1997,1,30,Drama,Fantasy,2,13,6,4,0,0,0,7.3
tt0115372,tvSeries,1996,2002,6,30,Comedy,None,6,19.83333333,4,5,0,0,1,6.6
tt0115374,tvSeries,1997,1998,1,55,Crime,Drama,2,6,6,4,0,0,0,6.2
tt0115376,tvSeries,1996,2000,4,30,Comedy,None,4,23.25,3,4,0,0,3,5.8
tt0115378,tvSeries,1996,2000,4,30,Action,Adventure,3,18,4,2,0,0,4,8.1
tt0115379,tvSeries,1996,1996,0,25,Drama,Sport,1,17,6,3,0,0,1,6.2
tt0115380,tvSeries,1996,1996,0,30,Action,Crime,1,13,7,1,0,0,2,7
tt0115381,tvSeries,1996,1999,3,30,None,None,4,185.4,6,4,0,0,0,6
tt0115383,tvSeries,1996,2015,19,74,Comedy,Music,6,32,1,0,0,9,0,6.7
tt0115385,tvSeries,1996,2000,4,60,Action,Adventure,1,22,5,5,0,0,0,6.2
tt0115388,tvSeries,1996,1996,0,30,Animation,Drama,1,9,8,2,0,0,0,7.3
tt0115389,tvSeries,1995,1995,0,60,Crime,Drama,3,8,6,4,0,0,0,7.4
tt0115390,tvSeries,1996,1997,1,45,Drama,None,2,16,6,3,0,0,1,8.5
tt0115393,tvSeries,1996,1998,2,60,Comedy,None,3,16.5,6,4,0,0,0,6.3
tt0115395,tvSeries,1996,1996,0,30,Comedy,None,1,15,4,5,0,0,1,6.3
tt0115396,tvSeries,1996,1999,3,30,Comedy,None,4,11.75,5,4,0,0,1,7.3
tt0115397,tvSeries,1996,2000,4,60,Drama,None,5,16.6,7,2,0,0,1,7.9
tt0115401,tvSeries,1996,1997,1,60,None,None,1,14,4,6,0,0,0,6.6
tt0115403,tvSeries,1996,1998,2,30,Comedy,Mystery,1,12,3,7,0,0,0,7
tt0115404,tvSeries,1996,1997,1,30,Crime,Thriller,1,22,7,2,0,0,1,7.9
tt0115406,tvSeries,1995,1995,0,30,Adventure,Animation,1,26,7,3,0,0,0,6.1
tt0115407,tvSeries,1996,1999,3,30,Crime,Drama,3,12.33333333,6,4,0,0,0,8.2
tt0115409,tvSeries,1996,1996,0,22,Comedy,None,1,23,6,4,0,0,0,5.9
tt0115416,tvSeries,1996,1996,0,30,Talk-Show,None,0,0,0,0,0,2,0,5.4
tt0115417,tvSeries,1996,2001,5,60,Action,Crime,6,29.5,4,3,0,0,3,6.9
tt0115418,tvMiniSeries,1996,1996,0,537,Documentary,History,1,9,0,0,0,10,0,8.4
tt0115420,tvSeries,1996,2001,5,60,Drama,None,5,13,3,6,0,0,1,7.8
tt0115421,tvSeries,1996,1996,0,22,Action,Adventure,1,13,8,2,0,0,0,6.7
tt0115425,tvSeries,1992,1998,6,30,Comedy,None,6,13,4,6,0,0,0,6.8
tt0115427,tvSeries,1996,1996,0,30,Drama,None,1,4,4,6,0,0,0,8.4
tt0115428,tvSeries,1996,1998,2,30,Comedy,None,2,12,5,4,0,1,0,7.3
tt0115674,tvSeries,1996,1998,2,23,Action,Adventure,2,44,8,2,0,0,0,6.2
tt0115690,tvSeries,1996,1999,3,30,Drama,None,3,13,4,6,0,0,0,8
tt0115795,tvSeries,1996,1997,1,63,Animation,Family,1,13,4,2,0,0,4,5.7
tt0116876,tvSeries,1996,1996,0,30,Comedy,None,1,6,3,7,0,0,0,7
tt0116910,tvMiniSeries,1996,1996,0,45,Drama,Music,1,11,4,6,0,0,0,8.2
tt0116954,tvSeries,1994,1994,0,90,None,None,9,1.5,5,5,0,0,0,4.1
tt0117086,tvMiniSeries,1995,1995,0,188,Adventure,Biography,1,2,8,2,0,0,0,6.7
tt0117248,tvMiniSeries,1996,1996,0,55,Comedy,Drama,1,10,7,3,0,0,0,5.9
tt0117367,tvSeries,1996,1996,0,30,Drama,None,6,42.66666667,3,4,0,0,3,4.1
tt0117629,tvSeries,1995,1997,2,30,Comedy,None,2,14,5,4,0,0,1,7.5
tt0117755,tvSeries,1996,1996,0,30,Reality-TV,Sci-Fi,0,0,4,1,0,4,1,8.6
tt0117769,tvSeries,1998,1998,0,30,Comedy,None,1,13,5,4,0,0,1,8.2
tt0118249,tvSeries,1997,1998,1,60,Drama,None,1,10,4,3,0,0,3,6.2
tt0118250,tvSeries,1997,1999,2,30,Comedy,None,2,6.5,7,3,0,0,0,8.8
tt0118252,tvSeries,1996,1999,3,22,Adventure,Animation,2,11,7,3,0,0,0,6.5
tt0118254,tvSeries,1997,2002,5,45,Comedy,Drama,5,22.4,2,7,0,0,1,6.9
tt0118255,tvSeries,1997,2006,9,30,Drama,None,10,23.8,6,4,0,0,0,5
tt0118256,tvSeries,1997,1998,1,30,Comedy,None,1,21,6,4,0,0,0,6.7
tt0118257,tvSeries,1998,1999,1,50,Drama,None,2,6.5,5,4,0,0,1,7
tt0118259,tvSeries,1997,2003,6,50,Comedy,None,8,9.625,5,4,0,0,1,4.8
tt0118260,tvSeries,1997,1997,0,30,Comedy,Sport,1,6,6,3,0,0,1,6
tt0118262,tvSeries,1997,1997,0,30,Comedy,None,1,26,7,3,0,0,0,6.4
tt0118264,tvSeries,1996,1996,0,30,Comedy,None,1,13,4,5,0,0,1,8
tt0118266,tvSeries,1997,1999,2,30,Action,Adventure,2,12,7,2,0,0,1,8.5
tt0118267,tvSeries,1997,1997,0,40,Comedy,None,0,0,1,0,0,9,0,5.9
tt0118268,tvSeries,1997,1999,2,30,Comedy,None,2,7,6,2,0,0,2,8
tt0118270,tvSeries,1997,1999,2,50,Drama,None,2,26.5,6,4,0,0,0,6.8
tt0118273,tvSeries,1997,2001,4,25,Comedy,None,2,3,5,5,0,0,0,8.6
tt0118274,tvSeries,1997,1998,1,50,Crime,Drama,2,6,4,6,0,0,0,6.5
tt0118275,tvSeries,1997,1998,1,60,Crime,Drama,1,22,5,1,0,0,4,7.5
tt0118276,tvSeries,1997,2003,6,44,Action,Drama,7,20.57142857,3,6,0,0,1,8.3
tt0118277,tvSeries,1997,1997,0,30,Comedy,None,1,8,5,2,0,0,3,7.5
tt0118278,tvSeries,1997,1998,1,60,Action,Crime,1,13,6,2,0,0,2,7
tt0118281,tvSeries,1997,2006,9,25,Comedy,None,9,10.77777778,6,4,0,0,0,4.9
tt0118282,tvSeries,1997,1997,0,30,Comedy,None,1,6,9,1,0,0,0,6.1
tt0118283,tvSeries,1997,1997,0,30,Comedy,None,2,5.5,7,3,0,0,0,6.9
tt0118284,tvSeries,1997,1997,0,30,Comedy,None,1,13,6,2,0,0,2,7.4
tt0118285,tvSeries,1997,2000,3,30,Comedy,Music,5,9.4,6,1,0,3,0,6.9
tt0118286,tvSeries,1999,2000,1,30,Comedy,None,1,26,5,5,0,0,0,7.6
tt0118289,tvSeries,1997,1999,2,30,Adventure,Animation,4,8.666666667,8,1,0,0,1,6.6
tt0118290,tvSeries,1997,1998,1,60,Crime,Drama,1,16,7,3,0,0,0,6.1
tt0118292,tvSeries,1997,1997,0,50,Crime,Drama,1,8,7,2,0,0,1,7.3
tt0118293,tvSeries,1997,1997,0,60,Drama,None,1,6,3,6,0,0,1,5.9
tt0118294,tvSeries,1997,1998,1,30,Comedy,None,2,13,6,4,0,0,0,6.2
tt0118295,tvSeries,1997,1999,2,30,Comedy,None,2,6.5,7,3,0,0,0,7.7
tt0118298,tvSeries,1997,2002,5,30,Animation,Comedy,5,13,3,5,0,0,2,8.1
tt0118299,tvSeries,1997,1997,0,30,Game-Show,Romance,1,0.5,4,3,0,3,0,5.8
tt0118300,tvSeries,1998,2003,5,60,Drama,Romance,6,21.33333333,4,5,0,0,1,6.8
tt0118302,tvSeries,1997,1998,1,60,Drama,None,1,14,6,1,0,0,3,7.4
tt0118303,tvSeries,1997,2002,5,30,Comedy,Romance,5,23.8,4,4,0,0,2,6.4
tt0118304,tvSeries,1998,1998,0,341,Comedy,Romance,1,1,6,4,0,0,0,7.8
tt0118307,tvSeries,1997,1997,0,48,Crime,None,1,9,6,2,0,0,2,5.9
tt0118309,tvSeries,1997,1997,0,30,Comedy,Musical,1,4,5,5,0,0,0,5.7
tt0118311,tvSeries,1997,1997,0,50,Comedy,Drama,1,20,6,4,0,0,0,7
tt0118312,tvSeries,1996,1996,0,60,Drama,None,1,0.5,5,5,0,0,0,6.6
tt0118313,tvSeries,1997,1997,0,30,Drama,None,1,6,3,5,0,0,2,5.4
tt0118315,tvSeries,1997,1998,1,30,Comedy,None,2,14,5,3,0,0,2,6.6
tt0118320,tvSeries,1997,1997,0,60,Action,Crime,1,13,7,3,0,0,0,7.1
tt0118322,tvSeries,1997,1998,1,30,Comedy,None,1,12,7,2,0,0,1,7.2
tt0118323,tvSeries,1997,1998,1,30,Comedy,None,1,22,5,3,0,0,2,7.2
tt0118324,tvSeries,1997,1997,0,10,None,None,1,6,5,5,0,0,0,7.6
tt0118326,tvSeries,1997,1998,1,50,Crime,Drama,2,13,8,2,0,0,0,8.2
tt0118327,tvSeries,1997,1998,1,60,Drama,None,2,9,4,6,0,0,0,7.6
tt0118329,tvSeries,1997,1998,1,30,Comedy,None,1,22,5,3,0,0,2,7.7
tt0118330,tvSeries,1997,1997,0,60,Drama,None,1,6,4,5,0,0,1,6.1
tt0118335,tvSeries,1997,1997,0,30,Comedy,None,1,7,5,4,0,0,1,7.3
tt0118338,tvSeries,1997,1998,1,30,Comedy,None,1,14,4,4,0,0,2,4.7
tt0118340,tvSeries,1997,1997,0,30,Comedy,None,1,13,5,2,0,0,3,6.4
tt0118341,tvSeries,1997,1998,1,30,Comedy,Romance,1,7,8,2,0,0,0,6.1
tt0118343,tvSeries,1997,2006,9,30,Animation,Comedy,1,48,6,0,0,0,4,6.8
tt0118345,tvSeries,1996,1998,2,25,Comedy,Drama,2,6,4,6,0,0,0,7.3
tt0118346,tvSeries,1997,2000,3,24,Drama,Fantasy,2,22,5,4,0,0,1,6.2
tt0118355,tvSeries,1997,1997,0,30,Comedy,Music,1,2.5,6,3,0,1,0,4.5
tt0118356,tvSeries,1997,1998,1,30,Comedy,None,1,17,5,3,0,0,2,4.4
tt0118358,tvSeries,1990,2005,15,30,Comedy,None,15,10.08333333,4,6,0,0,0,8.6
tt0118359,tvSeries,1996,1998,2,97,Action,Comedy,1,22,5,3,0,0,2,6.9
tt0118360,tvSeries,1997,2004,7,30,Adventure,Animation,4,16.5,4,2,0,0,4,7.2
tt0118361,tvSeries,1996,1996,0,30,None,None,0,0,2,0,0,0,0,7.4
tt0118362,tvSeries,1998,2000,2,30,Comedy,None,0,0,5,4,0,1,0,2.3
tt0118363,tvSeries,1997,2016,19,60,Comedy,Crime,4,4.8,5,5,0,0,0,8.1
tt0118364,tvSeries,1997,2003,6,30,Comedy,None,7,21.14285714,5,4,0,0,1,6.9
tt0118366,tvSeries,1989,1998,9,30,Talk-Show,None,0,0,0,0,0,10,0,7.7
tt0118370,tvSeries,1997,1998,1,60,Comedy,Talk-Show,1,13,1,3,0,6,0,5.6
tt0118371,tvSeries,1997,1998,1,30,Comedy,Family,2,8,4,6,0,0,0,7.6
tt0118372,tvSeries,1997,2020,23,30,Comedy,None,10,10.75,5,5,0,0,0,6.7
tt0118373,tvSeries,1998,1998,0,30,Comedy,Romance,1,7,6,2,0,0,2,6.7
tt0118375,tvSeries,1997,2010,13,30,Animation,Comedy,12,18,5,4,0,0,1,7.5
tt0118377,tvSeries,1997,1997,0,115,Crime,None,1,8,6,4,0,0,0,3.7
tt0118378,tvSeries,1997,2016,19,45,Crime,Drama,11,12.45454545,8,2,0,0,0,4.7
tt0118379,tvSeries,1997,2001,4,60,Action,Crime,5,19.2,5,4,0,0,1,7.4
tt0118380,tvSeries,1997,1997,0,30,Drama,Family,3,12.5,8,2,0,0,0,6.1
tt0118383,tvSeries,1997,1997,0,60,Action,Crime,1,4,7,2,0,0,1,7.8
tt0118384,tvSeries,1997,1997,0,60,Drama,None,1,6,4,5,0,0,1,7
tt0118385,tvSeries,1997,1997,0,30,Comedy,None,1,5,5,4,0,0,1,5.4
tt0118386,tvSeries,1997,1998,1,60,Music,Talk-Show,2,75,0,0,0,10,0,7.2
tt0118387,tvSeries,1997,1997,0,30,Comedy,None,1,12,5,2,0,0,3,8.5
tt0118388,tvSeries,1997,1998,1,30,Comedy,Romance,2,6.5,3,5,0,0,2,5.8
tt0118393,tvSeries,1997,1997,0,90,Family,None,2,5,6,4,0,0,0,5.3
tt0118397,tvSeries,1997,1997,0,30,Comedy,Sci-Fi,1,13,5,1,0,0,4,5.3
tt0118400,tvSeries,1997,1998,1,60,Drama,None,1,22,5,2,0,0,3,7.2
